"description"	"symbol"	"efo"	"gene"	"chromosome"	"init_pos"	"genome_reference"	"chosen_gene_idx"	"position"	"row_number"
"Diabetic Neuropathies"	"OPRM1"	"EFO_1000783"	"ENSG00000112038"	"chr6"	154085798	"hg38"	1	154085798	406
"Diabetic Neuropathies"	"SLC6A2"	"EFO_1000783"	"ENSG00000103546"	"chr16"	55681090	"hg38"	3	55567185.5	407
"Diabetic Neuropathies"	"TRPV1"	"EFO_1000783"	"ENSG00000196689"	"chr17"	3587428.5	"hg38"	7	3679628.5	408
"Diabetic Retinopathy"	"NR3C1"	"EFO_0003770"	"ENSG00000113580"	"chr5"	143340810	"hg38"	1	143340810	409
"Diabetic Retinopathy"	"VEGFA"	"EFO_0003770"	"ENSG00000112715"	"chr6"	43778349	"hg38"	1	43778349	410
"Disseminated Intravascular Coagulation"	"F10"	"HP_0005521"	"ENSG00000126218"	"chr13"	113136164	"hg38"	1	113136164	411
"Disseminated Intravascular Coagulation"	"F2"	"HP_0005521"	"ENSG00000180210"	"chr11"	46729359.5	"hg38"	1	46729359.5	412
"Duodenal Ulcer"	"ATP4A"	"EFO_0004607"	"ENSG00000105675"	"chr19"	35556844.5	"hg38"	1	35556844.5	413
"Dwarfism, Pituitary"	"GHR"	"EFO_1001109"	"ENSG00000112964"	"chr5"	42572658.5	"hg38"	1	42572658.5	414
"Dwarfism, Pituitary"	"IGF1R"	"EFO_1001109"	"ENSG00000140443"	"chr15"	98806534.5	"hg38"	1	98806534.5	415
"Dyskinesia, Drug-Induced"	"GRIN1"	"EFO_1000904"	"ENSG00000176884"	"chr9"	137153955	"hg38"	3	137170419	416
"Dysmenorrhea"	"PTGS2"	"HP_0100607"	"ENSG00000073756"	"chr1"	186676107	"hg38"	2	186908965	417
"Dyspareunia"	"AR"	"HP_0030016"	"ENSG00000169083"	"chrX"	67637320	"hg38"	1	67637320	418
"Dyspareunia"	"ESR1"	"HP_0030016"	"ENSG00000091831"	"chr6"	151955478	"hg38"	1	151955478	419
"Dyspepsia"	"ACHE"	"EFO_0008533"	"ENSG00000087085"	"chr7"	100892941	"hg38"	3	100881883.5	420
"Dyspepsia"	"CHRM1"	"EFO_0008533"	"ENSG00000168539"	"chr11"	62915021	"hg38"	1	62915021	421
"Dyspepsia"	"CHRM2"	"EFO_0008533"	"ENSG00000181072"	"chr7"	136944432.5	"hg38"	1	136944432.5	422
"Dyspepsia"	"HTR3A"	"EFO_0008533"	"ENSG00000166736"	"chr11"	113982710.5	"hg38"	10	114405636.5	423
"Dyspepsia"	"HTR4"	"EFO_0008533"	"ENSG00000164270"	"chr5"	148568037	"hg38"	1	148568037	424
"Dystonia"	"GABBR1"	"HP_0001332"	"ENSG00000204681"	"chr6"	29617710.5	"hg38"	1	29617710.5	425
"Eczema"	"F10"	"HP_0000964"	"ENSG00000126218"	"chr13"	113136164	"hg38"	1	113136164	426
"Eczema"	"PLAU"	"HP_0000964"	"ENSG00000122861"	"chr10"	73914313	"hg38"	1	73914313	427
"Eczema"	"PTGER2"	"HP_0000964"	"ENSG00000125384"	"chr14"	52321455	"hg38"	1	52321455	428
"Eczema"	"PTGS1"	"HP_0000964"	"ENSG00000095303"	"chr9"	122383363.5	"hg38"	1	122383363.5	429
"Eczema"	"PTGS2"	"HP_0000964"	"ENSG00000073756"	"chr1"	186676107	"hg38"	2	186908965	430
"Eczema"	"TBXAS1"	"HP_0000964"	"ENSG00000059377"	"chr7"	139924778.5	"hg38"	8	140416016	431
"Edema, Cardiac"	"AVPR2"	"EFO_1001771"	"ENSG00000126895"	"chrX"	153905919.5	"hg38"	1	153890712.5	432
"Emphysema"	"CHRM3"	"EFO_0000464"	"ENSG00000133019"	"chr1"	239651009	"hg38"	1	239651009	433
"Endometriosis"	"GNRH1"	"EFO_0001065"	"ENSG00000147437"	"chr8"	25421759.5	"hg38"	2	25300200	434
"Endometriosis"	"GNRHR"	"EFO_0001065"	"ENSG00000109163"	"chr4"	67745753	"hg38"	1	67745753	435
"Epidermolysis Bullosa"	"COL7A1"	"EFO_1000690"	"ENSG00000114270"	"chr3"	48579701	"hg38"	10	48649674.5	436
"Epilepsy"	"CNR1"	"Orphanet_166463,EFO_0000474"	"ENSG00000118432"	"chr6"	88153105.5	"hg38"	1	88153105.5	437
"Epilepsy"	"GABRA1"	"Orphanet_166463,EFO_0000474"	"ENSG00000022355"	"chr5"	161874045.5	"hg38"	1	161874045.5	438
"Epilepsy"	"GABRA2"	"Orphanet_166463,EFO_0000474"	"ENSG00000151834"	"chr4"	46316838	"hg38"	2	46079911.5	439
"Epilepsy"	"GABRA3"	"Orphanet_166463,EFO_0000474"	"ENSG00000011677"	"chrX"	152308774.5	"hg38"	2	152392259	440
"Epilepsy"	"GABRA4"	"Orphanet_166463,EFO_0000474"	"ENSG00000109158"	"chr4"	46956240.5	"hg38"	1	46956240.5	441
"Epilepsy"	"GABRA5"	"Orphanet_166463,EFO_0000474"	"ENSG00000186297"	"chr15"	26908135	"hg38"	1	26908135	442
"Epilepsy"	"GPR55"	"Orphanet_166463,EFO_0000474"	"ENSG00000135898"	"chr2"	230916285	"hg38"	1	230916285	443
"Epilepsy"	"SCN1A"	"Orphanet_166463,EFO_0000474"	"ENSG00000144285"	"chr2"	166056916.5	"hg38"	2	165913569	444
"Epilepsy"	"SCN2A"	"Orphanet_166463,EFO_0000474"	"ENSG00000136531"	"chr2"	165315859	"hg38"	1	165315859	445
"Epilepsy"	"SCN3A"	"Orphanet_166463,EFO_0000474"	"ENSG00000153253"	"chr2"	165145788	"hg38"	1	165145788	446
"Epilepsy"	"SLC8A1"	"Orphanet_166463,EFO_0000474"	"ENSG00000183023"	"chr2"	40274680	"hg38"	2	39757659.5	447
"Epilepsy"	"TRPV1"	"Orphanet_166463,EFO_0000474"	"ENSG00000196689"	"chr17"	3587428.5	"hg38"	1	3587428.5	448
"Epilepsies, Partial"	"CACNA2D1"	"EFO_0004263"	"ENSG00000153956"	"chr7"	82195110.5	"hg38"	1	82195110.5	449
"Epilepsies, Partial"	"DPYSL2"	"EFO_0004263"	"ENSG00000092964"	"chr8"	26586103	"hg38"	1	26586103	450
"Epilepsies, Partial"	"FGFR3"	"EFO_0004263"	"ENSG00000068078"	"chr4"	1801080	"hg38"	1	1801080	451
"Epilepsies, Partial"	"GABRA1"	"EFO_0004263"	"ENSG00000022355"	"chr5"	161874045.5	"hg38"	1	161874045.5	452
"Epilepsies, Partial"	"GABRA2"	"EFO_0004263"	"ENSG00000151834"	"chr4"	46316838	"hg38"	1	46316838	453
"Epilepsies, Partial"	"GABRA3"	"EFO_0004263"	"ENSG00000011677"	"chrX"	152308774.5	"hg38"	1	152308774.5	454
"Epilepsies, Partial"	"GABRA4"	"EFO_0004263"	"ENSG00000109158"	"chr4"	46956240.5	"hg38"	3	47229007	455
"Epilepsies, Partial"	"GABRA5"	"EFO_0004263"	"ENSG00000186297"	"chr15"	26908135	"hg38"	1	26908135	456
"Epilepsies, Partial"	"GRIA1"	"EFO_0004263"	"ENSG00000155511"	"chr5"	153652269.5	"hg38"	3	154048208.5	457
"Epilepsies, Partial"	"SCN1A"	"EFO_0004263"	"ENSG00000144285"	"chr2"	166056916.5	"hg38"	1	166056916.5	458
"Epilepsies, Partial"	"SCN2A"	"EFO_0004263"	"ENSG00000136531"	"chr2"	165315859	"hg38"	1	165315859	459
"Epilepsies, Partial"	"SCN3A"	"EFO_0004263"	"ENSG00000153253"	"chr2"	165145788	"hg38"	1	165145788	460
"Epilepsies, Partial"	"SCN5A"	"EFO_0004263"	"ENSG00000183873"	"chr3"	38598874.5	"hg38"	2	38511321.5	461
"Epilepsies, Partial"	"SLC8A1"	"EFO_0004263"	"ENSG00000183023"	"chr2"	40274680	"hg38"	2	39757659.5	462
"Epilepsy, Generalized"	"DPYSL2"	"EFO_0005917"	"ENSG00000092964"	"chr8"	26586103	"hg38"	1	26586103	463
"Epilepsy, Generalized"	"GABRA1"	"EFO_0005917"	"ENSG00000022355"	"chr5"	161874045.5	"hg38"	1	161874045.5	464
"Epilepsy, Generalized"	"GABRA2"	"EFO_0005917"	"ENSG00000151834"	"chr4"	46316838	"hg38"	1	46316838	465
"Epilepsy, Generalized"	"GABRA3"	"EFO_0005917"	"ENSG00000011677"	"chrX"	152308774.5	"hg38"	1	152308774.5	466
"Epilepsy, Generalized"	"GABRA4"	"EFO_0005917"	"ENSG00000109158"	"chr4"	46956240.5	"hg38"	2	46822036	467
"Epilepsy, Generalized"	"GABRA5"	"EFO_0005917"	"ENSG00000186297"	"chr15"	26908135	"hg38"	1	26908135	468
"Epilepsy, Generalized"	"SCN1A"	"EFO_0005917"	"ENSG00000144285"	"chr2"	166056916.5	"hg38"	2	165913569	469
"Epilepsy, Generalized"	"SCN2A"	"EFO_0005917"	"ENSG00000136531"	"chr2"	165315859	"hg38"	3	165579552.5	470
"Epilepsy, Generalized"	"SCN3A"	"EFO_0005917"	"ENSG00000153253"	"chr2"	165145788	"hg38"	5	165579552.5	471
"Epilepsy, Tonic-Clonic"	"DPYSL2"	"EFO_0007262"	"ENSG00000092964"	"chr8"	26586103	"hg38"	5	26332094	472
"Epilepsy, Tonic-Clonic"	"FGFR3"	"EFO_0007262"	"ENSG00000068078"	"chr4"	1801080	"hg38"	2	1833817.5	473
"Epilepsy, Tonic-Clonic"	"GRIA1"	"EFO_0007262"	"ENSG00000155511"	"chr5"	153652269.5	"hg38"	1	153652269.5	474
"Epilepsy, Tonic-Clonic"	"SCN1A"	"EFO_0007262"	"ENSG00000144285"	"chr2"	166056916.5	"hg38"	6	165579552.5	475
"Epilepsy, Tonic-Clonic"	"SCN2A"	"EFO_0007262"	"ENSG00000136531"	"chr2"	165315859	"hg38"	1	165315859	476
"Epilepsy, Tonic-Clonic"	"SCN3A"	"EFO_0007262"	"ENSG00000153253"	"chr2"	165145788	"hg38"	1	165145788	477
"Epilepsy, Tonic-Clonic"	"SCN5A"	"EFO_0007262"	"ENSG00000183873"	"chr3"	38598874.5	"hg38"	1	38598874.5	478
"Epilepsies, Myoclonic"	"CNR1"	"EFO_1001900,Orphanet_33069"	"ENSG00000118432"	"chr6"	88153105.5	"hg38"	1	88153105.5	479
"Epilepsies, Myoclonic"	"FGFR3"	"EFO_1001900,Orphanet_33069"	"ENSG00000068078"	"chr4"	1801080	"hg38"	2	1833817.5	480
"Epilepsies, Myoclonic"	"GPR55"	"EFO_1001900,Orphanet_33069"	"ENSG00000135898"	"chr2"	230916285	"hg38"	3	231002080.5	481
"Epilepsies, Myoclonic"	"SLC6A4"	"EFO_1001900,Orphanet_33069"	"ENSG00000108576"	"chr17"	30215008	"hg38"	2	30151645.5	482
"Epilepsies, Myoclonic"	"TRPV1"	"EFO_1001900,Orphanet_33069"	"ENSG00000196689"	"chr17"	3587428.5	"hg38"	3	3622245	483
"Epilepsy, Absence"	"SCN1A"	"HP_0011147,HP_0002121"	"ENSG00000144285"	"chr2"	166056916.5	"hg38"	2	165913569	484
"Epilepsy, Absence"	"SCN2A"	"HP_0011147,HP_0002121"	"ENSG00000136531"	"chr2"	165315859	"hg38"	1	165315859	485
"Epilepsy, Absence"	"SCN3A"	"HP_0011147,HP_0002121"	"ENSG00000153253"	"chr2"	165145788	"hg38"	1	165145788	486
"Esophageal and Gastric Varices"	"AVPR1A"	"EFO_0009545"	"ENSG00000166148"	"chr12"	63146980	"hg38"	1	63146980	487
"Esophageal and Gastric Varices"	"AVPR1B"	"EFO_0009545"	"ENSG00000198049"	"chr1"	206112162	"hg38"	1	206112162	488
"Esophageal and Gastric Varices"	"AVPR2"	"EFO_0009545"	"ENSG00000126895"	"chrX"	153905919.5	"hg38"	6	153939956	489
"Esophageal Neoplasms"	"ERBB2"	"HP_0100751"	"ENSG00000141736"	"chr17"	39714361	"hg38"	1	39714361	490
"Esophageal Neoplasms"	"KDR"	"HP_0100751"	"ENSG00000128052"	"chr4"	55102038	"hg38"	1	55102038	491
"Esophageal Neoplasms"	"PDCD1"	"HP_0100751"	"ENSG00000188389"	"chr2"	241854389	"hg38"	2	241871776	492
"Esophageal Neoplasms"	"TUBB"	"HP_0100751"	"ENSG00000196230"	"chr6"	30722887	"hg38"	1	30722887	493
"Esophageal Neoplasms"	"TYMS"	"HP_0100751"	"ENSG00000176890"	"chr18"	665615.5	"hg38"	1	665615.5	494
"Esophagitis, Peptic"	"ATP4A"	"EFO_1001095"	"ENSG00000105675"	"chr19"	35556844.5	"hg38"	1	35556844.5	495
"Eye Diseases"	"NR3C1"	"EFO_0003966"	"ENSG00000113580"	"chr5"	143340810	"hg38"	2	142999692	496
"Eye Diseases"	"PTGS1"	"EFO_0003966"	"ENSG00000095303"	"chr9"	122383363.5	"hg38"	1	122383363.5	497
"Eye Diseases"	"PTGS2"	"EFO_0003966"	"ENSG00000073756"	"chr1"	186676107	"hg38"	2	186908965	498
"Factor XI Deficiency"	"F11"	"Orphanet_329"	"ENSG00000088926"	"chr4"	186277935	"hg38"	1	186277935	499
"Fallopian Tube Neoplasms"	"BRAF"	"EFO_1000251"	"ENSG00000157764"	"chr7"	140827797	"hg38"	9	140366141	500
"Fallopian Tube Neoplasms"	"FGFR1"	"EFO_1000251"	"ENSG00000077782"	"chr8"	38439889	"hg38"	6	38195078	501
"Fallopian Tube Neoplasms"	"FGFR3"	"EFO_1000251"	"ENSG00000068078"	"chr4"	1801080	"hg38"	1	1801080	502
"Fallopian Tube Neoplasms"	"FLT1"	"EFO_1000251"	"ENSG00000102755"	"chr13"	28397737	"hg38"	1	28397737	503
"Fallopian Tube Neoplasms"	"FLT4"	"EFO_1000251"	"ENSG00000037280"	"chr5"	180625553	"hg38"	1	180625553	504
"Fallopian Tube Neoplasms"	"KDR"	"EFO_1000251"	"ENSG00000128052"	"chr4"	55102038	"hg38"	0	55102038	505
"Fallopian Tube Neoplasms"	"KIT"	"EFO_1000251"	"ENSG00000157404"	"chr4"	54699336	"hg38"	3	54263769	506
"Fallopian Tube Neoplasms"	"PARP1"	"EFO_1000251"	"ENSG00000143799"	"chr1"	226384392	"hg38"	1	226384392	507
"Fallopian Tube Neoplasms"	"PARP2"	"EFO_1000251"	"ENSG00000129484"	"chr14"	20350769.5	"hg38"	19	20597067.5	508
"Fallopian Tube Neoplasms"	"PARP3"	"EFO_1000251"	"ENSG00000041880"	"chr3"	51945615	"hg38"	2	51937666.5	509
"Fallopian Tube Neoplasms"	"PDGFRA"	"EFO_1000251"	"ENSG00000134853"	"chr4"	54263769	"hg38"	1	53836555.5	510
"Fallopian Tube Neoplasms"	"PDGFRB"	"EFO_1000251"	"ENSG00000113721"	"chr5"	150134842	"hg38"	1	150134842	511
"Fallopian Tube Neoplasms"	"TUBB"	"EFO_1000251"	"ENSG00000196230"	"chr6"	30722887	"hg38"	3	30708544	512
"Fallopian Tube Neoplasms"	"VEGFA"	"EFO_1000251"	"ENSG00000112715"	"chr6"	43778349	"hg38"	14	44120451.5	513
"Fever"	"PTGS1"	"HP_0001945"	"ENSG00000095303"	"chr9"	122383363.5	"hg38"	1	122383363.5	514
"Fever"	"PTGS2"	"HP_0001945"	"ENSG00000073756"	"chr1"	186676107	"hg38"	1	186676107	515
"Fever"	"TGFB1"	"HP_0001945"	"ENSG00000105329"	"chr19"	41342122.5	"hg38"	1	41342122.5	516
"Fibromyalgia"	"CACNA2D1"	"EFO_0005687"	"ENSG00000153956"	"chr7"	82195110.5	"hg38"	1	82195110.5	517
"Friedreich Ataxia"	"NFE2L2"	"Orphanet_95"	"ENSG00000116044"	"chr2"	177247517.5	"hg38"	2	177255977.5	518
"Friedreich Ataxia"	"PPARG"	"Orphanet_95"	"ENSG00000132170"	"chr3"	12361707	"hg38"	1	12361707	519
"Gastroesophageal Reflux"	"ATP1A1"	"EFO_0003948"	"ENSG00000163399"	"chr1"	116389009	"hg38"	1	116389009	520
"Gastroesophageal Reflux"	"ATP4A"	"EFO_0003948"	"ENSG00000105675"	"chr19"	35556844.5	"hg38"	13	35672499	521
"Gastroesophageal Reflux"	"DRD2"	"EFO_0003948"	"ENSG00000149295"	"chr11"	113442501.5	"hg38"	1	113442501.5	522
"Gastroesophageal Reflux"	"GAST"	"EFO_0003948"	"ENSG00000184502"	"chr17"	41714150	"hg38"	10	41843104.5	523
"Gastroesophageal Reflux"	"HTR4"	"EFO_0003948"	"ENSG00000164270"	"chr5"	148568037	"hg38"	1	148568037	524
"Gaucher Disease"	"GBA"	"Orphanet_355"	"ENSG00000177628"	"chr1"	155237850.5	"hg38"	1	155237850.5	525
"Gaucher Disease"	"UGCG"	"Orphanet_355"	"ENSG00000148154"	"chr9"	111916091.5	"hg38"	1	111916091.5	526
"Glaucoma"	"ADRA2A"	"EFO_0000516"	"ENSG00000150594"	"chr10"	111078968	"hg38"	3	110988969.5	527
"Glaucoma"	"ADRB1"	"EFO_0000516"	"ENSG00000043591"	"chr10"	114045385	"hg38"	1	114045385	528
"Glaucoma"	"ADRB2"	"EFO_0000516"	"ENSG00000169252"	"chr5"	148827617	"hg38"	2	149022606	529
"Glaucoma"	"PTGER2"	"EFO_0000516"	"ENSG00000125384"	"chr14"	52321455	"hg38"	5	52036934	530
"Glaucoma"	"PTGFR"	"EFO_0000516"	"ENSG00000122420"	"chr1"	78515837.5	"hg38"	1	78515837.5	531
"Glaucoma"	"ROCK1"	"EFO_0000516"	"ENSG00000067900"	"chr18"	21029359.5	"hg38"	2	21384172	532
"Glaucoma"	"ROCK2"	"EFO_0000516"	"ENSG00000134318"	"chr2"	11262197.5	"hg38"	2	11167161.5	533
"Glaucoma"	"SLC6A2"	"EFO_0000516"	"ENSG00000103546"	"chr16"	55681090	"hg38"	1	55681090	534
"Glioblastoma"	"CD276"	"EFO_0003833,MONDO_0001657"	"ENSG00000103855"	"chr15"	73699448.5	"hg38"	1	73699448.5	535
"Glioblastoma"	"IFNAR2"	"EFO_0003833,MONDO_0001657"	"ENSG00000159110"	"chr21"	33247801	"hg38"	1	33247801	536
"Glioblastoma"	"VEGFA"	"EFO_0003833,MONDO_0001657"	"ENSG00000112715"	"chr6"	43778349	"hg38"	4	43638390.5	537
"Glomerulonephritis, IGA"	"AGTR1"	"EFO_0004194"	"ENSG00000144891"	"chr3"	148720453	"hg38"	0	148720453	538
"Glomerulonephritis, IGA"	"EDNRA"	"EFO_0004194"	"ENSG00000151617"	"chr4"	147513025.5	"hg38"	4	147344673	539
"Glomerulonephritis, IGA"	"NR3C1"	"EFO_0004194"	"ENSG00000113580"	"chr5"	143340810	"hg38"	2	142999692	540
"Glycogen Storage Disease Type II"	"GAA"	"Orphanet_365"	"ENSG00000171298"	"chr17"	80110731	"hg38"	1	80110731	541
"Gout"	"SLC22A12"	"EFO_0009104"	"ENSG00000197891"	"chr11"	64596782	"hg38"	1	64596782	542
"Gout"	"XDH"	"EFO_0009104"	"ENSG00000158125"	"chr2"	31374531.5	"hg38"	2	31251801.5	543
"Graft vs Host Disease"	"BTK"	"MONDO_0013730"	"ENSG00000010671"	"chrX"	101367820.5	"hg38"	1	101367820.5	544
"Graft vs Host Disease"	"CSF3R"	"MONDO_0013730"	"ENSG00000119535"	"chr1"	36474478	"hg38"	1	36474478	545
"Graft vs Host Disease"	"FKBP1A"	"MONDO_0013730"	"ENSG00000088832"	"chr20"	1381016	"hg38"	6	1287810.5	546
"Graft vs Host Disease"	"IL2"	"MONDO_0013730"	"ENSG00000109471"	"chr4"	122454097.5	"hg38"	1	122454097.5	547
"Graft vs Host Disease"	"IMPDH1"	"MONDO_0013730"	"ENSG00000106348"	"chr7"	128401129.5	"hg38"	1	128401129.5	548
"Graft vs Host Disease"	"JAK1"	"MONDO_0013730"	"ENSG00000162434"	"chr1"	64899889	"hg38"	1	64899889	549
"Graft vs Host Disease"	"JAK2"	"MONDO_0013730"	"ENSG00000096968"	"chr9"	5057610	"hg38"	3	5233361.5	550
"Graft vs Host Disease"	"MASP2"	"MONDO_0013730"	"ENSG00000009724"	"chr1"	11036881	"hg38"	2	11019073	551
"Graft vs Host Disease"	"POLA1"	"MONDO_0013730"	"ENSG00000101868"	"chrX"	24845452	"hg38"	3	24602717	552
"Graft vs Host Disease"	"ROCK2"	"MONDO_0013730"	"ENSG00000134318"	"chr2"	11262197.5	"hg38"	1	11262197.5	553
"Rhinitis, Allergic, Seasonal"	"CYSLTR1"	"EFO_0003956"	"ENSG00000173198"	"chrX"	78299539.5	"hg38"	0	78299539.5	554
"Rhinitis, Allergic, Seasonal"	"HRH1"	"EFO_0003956"	"ENSG00000196639"	"chr3"	11209025	"hg38"	5	11599992	555
"Rhinitis, Allergic, Seasonal"	"NR3C1"	"EFO_0003956"	"ENSG00000113580"	"chr5"	143340810	"hg38"	1	143340810	556
"Head and Neck Neoplasms"	"ANPEP"	"HP_0012288"	"ENSG00000166825"	"chr15"	89799873.5	"hg38"	1	89799873.5	557
"Head and Neck Neoplasms"	"CD274"	"HP_0012288"	"ENSG00000120217"	"chr9"	5460548	"hg38"	9	5808844.5	558
"Head and Neck Neoplasms"	"EGFR"	"HP_0012288"	"ENSG00000146648"	"chr7"	55115322.5	"hg38"	1	55115322.5	559
"Head and Neck Neoplasms"	"PDCD1"	"HP_0012288"	"ENSG00000188389"	"chr2"	241854389	"hg38"	1	241854389	560
"Head and Neck Neoplasms"	"TOP2A"	"HP_0012288"	"ENSG00000131747"	"chr17"	40403210.5	"hg38"	6	40296268	561
"Head and Neck Neoplasms"	"TP53"	"HP_0012288"	"ENSG00000141510"	"chr17"	7677955.5	"hg38"	15	7555350	562
"Head and Neck Neoplasms"	"TUBB"	"HP_0012288"	"ENSG00000196230"	"chr6"	30722887	"hg38"	1	30722887	563
"Head and Neck Neoplasms"	"TYMS"	"HP_0012288"	"ENSG00000176890"	"chr18"	665615.5	"hg38"	2	691474	564
"Heart Defects, Congenital"	"PDE5A"	"HP_0001627"	"ENSG00000138735"	"chr4"	119561603.5	"hg38"	2	119319694	565
"Heart Failure"	"ACE"	"EFO_0003144"	"ENSG00000159640"	"chr17"	63487717	"hg38"	6	63572371.5	566
"Heart Failure"	"ADRB1"	"EFO_0003144"	"ENSG00000043591"	"chr10"	114045385	"hg38"	6	113844403.5	567
"Heart Failure"	"ADRB2"	"EFO_0003144"	"ENSG00000169252"	"chr5"	148827617	"hg38"	1	148827617	568
"Heart Failure"	"AGTR1"	"EFO_0003144"	"ENSG00000144891"	"chr3"	148720453	"hg38"	1	148720453	569
"Heart Failure"	"GUCY1B1"	"EFO_0003144"	"ENSG00000061918"	"chr4"	155783416	"hg38"	1	155783416	570
"Heart Failure"	"RXFP1"	"EFO_0003144"	"ENSG00000171509"	"chr4"	158587627	"hg38"	2	158669281	571
"Heart Failure"	"SLC12A1"	"EFO_0003144"	"ENSG00000074803"	"chr15"	48255190	"hg38"	2	48197711.5	572
"Heart Failure"	"SLC12A2"	"EFO_0003144"	"ENSG00000064651"	"chr5"	128136721.5	"hg38"	2	128398077	573
"Heart Failure"	"SLC5A1"	"EFO_0003144"	"ENSG00000100170"	"chr22"	32078145	"hg38"	1	32078145	574
"Heart Failure"	"SLC5A2"	"EFO_0003144"	"ENSG00000140675"	"chr16"	31486946	"hg38"	2	31498933	575
"Hemoglobinuria, Paroxysmal"	"C3"	"Orphanet_447"	"ENSG00000125730"	"chr19"	6699177	"hg38"	1	6699177	576
"Hemoglobinuria, Paroxysmal"	"C5"	"Orphanet_447"	"ENSG00000106804"	"chr9"	121001305	"hg38"	1	121001305	577
"Hemolytic-Uremic Syndrome"	"C5"	"MONDO_0001549"	"ENSG00000106804"	"chr9"	121001305	"hg38"	2	121126282.5	578
"Hemophilia A"	"F10"	"Orphanet_98878"	"ENSG00000126218"	"chr13"	113136164	"hg38"	1	113136164	579
"Hemophilia A"	"F2"	"Orphanet_98878"	"ENSG00000180210"	"chr11"	46729359.5	"hg38"	1	46729359.5	580
"Hemophilia A"	"F7"	"Orphanet_98878"	"ENSG00000057593"	"chr13"	113113238	"hg38"	6	113238360.5	581
"Hemophilia A"	"F8"	"Orphanet_98878"	"ENSG00000185010"	"chrX"	154929257.5	"hg38"	13	154768626	582
"Hemophilia A"	"F9"	"Orphanet_98878"	"ENSG00000101981"	"chrX"	139547099	"hg38"	1	139547099	583
"Hemophilia A"	"VWF"	"Orphanet_98878"	"ENSG00000110799"	"chr12"	6036773.5	"hg38"	1	6036773.5	584
"Hemorrhage"	"F10"	"MP_0001914"	"ENSG00000126218"	"chr13"	113136164	"hg38"	9	113344146.5	585
"Hemorrhage"	"F2"	"MP_0001914"	"ENSG00000180210"	"chr11"	46729359.5	"hg38"	1	46729359.5	586
"Hemorrhage"	"F7"	"MP_0001914"	"ENSG00000057593"	"chr13"	113113238	"hg38"	2	113136164	587
"Hemorrhage"	"FGA"	"MP_0001914"	"ENSG00000171560"	"chr4"	154588008.5	"hg38"	2	154567909	588
"Hemorrhage"	"FGB"	"MP_0001914"	"ENSG00000171564"	"chr4"	154567909	"hg38"	1	154567909	589
"Hemorrhage"	"FGG"	"MP_0001914"	"ENSG00000171557"	"chr4"	154608413.5	"hg38"	1	154608413.5	590
"Postpartum Hemorrhage"	"OXTR"	"EFO_0009579"	"ENSG00000180914"	"chr3"	8759997	"hg38"	1	8759997	591
"Hepatitis A"	"IFNAR2"	"EFO_0007305"	"ENSG00000159110"	"chr21"	33247801	"hg38"	1	33247801	592
"Hepatitis B"	"IFNA1"	"EFO_0004197"	"ENSG00000197919"	"chr9"	21440877.5	"hg38"	3	21481576	593
"Hepatitis B"	"IFNAR2"	"EFO_0004197"	"ENSG00000159110"	"chr21"	33247801	"hg38"	1	33247801	594
"Hepatitis B"	"IL2RA"	"EFO_0004197"	"ENSG00000134460"	"chr10"	6036528	"hg38"	1	6036528	595
"Hepatitis B"	"PGR"	"EFO_0004197"	"ENSG00000082175"	"chr11"	101079718.5	"hg38"	1	101079718.5	596
"Hepatitis B"	"RARB"	"EFO_0004197"	"ENSG00000077092"	"chr3"	25513097.5	"hg38"	2	25631445.5	597
"Hepatitis B"	"TLR4"	"EFO_0004197"	"ENSG00000136869"	"chr9"	117714569	"hg38"	1	117714569	598
"Hepatitis, Viral, Human"	"HGF"	"EFO_0004196"	"ENSG00000019991"	"chr7"	81734528.5	"hg38"	2	82195110.5	599
"Hepatitis, Viral, Human"	"IFNAR2"	"EFO_0004196"	"ENSG00000159110"	"chr21"	33247801	"hg38"	5	33420464.5	600
"Hepatitis C"	"IFNA1"	"NCBITaxon_11103"	"ENSG00000197919"	"chr9"	21440877.5	"hg38"	1	21440877.5	601
"Hepatitis C"	"IFNAR2"	"NCBITaxon_11103"	"ENSG00000159110"	"chr21"	33247801	"hg38"	1	33247801	602
"Hepatorenal Syndrome"	"AVPR1A"	"MONDO_0001382"	"ENSG00000166148"	"chr12"	63146980	"hg38"	3	63613703	603
"Hepatorenal Syndrome"	"AVPR1B"	"MONDO_0001382"	"ENSG00000198049"	"chr1"	206112162	"hg38"	5	206333988.5	604
"Hepatorenal Syndrome"	"AVPR2"	"MONDO_0001382"	"ENSG00000126895"	"chrX"	153905919.5	"hg38"	1	153890712.5	605
"Herpes Zoster"	"IFNAR2"	"EFO_0006509"	"ENSG00000159110"	"chr21"	33247801	"hg38"	2	33263419.5	606
"von Hippel-Lindau Disease"	"EPAS1"	"Orphanet_892"	"ENSG00000116016"	"chr2"	46342052	"hg38"	1	46342052	607
"Hodgkin Disease"	"ANPEP"	"EFO_0000183"	"ENSG00000166825"	"chr15"	89799873.5	"hg38"	2	89777543	608
"Hodgkin Disease"	"CD274"	"EFO_0000183"	"ENSG00000120217"	"chr9"	5460548	"hg38"	1	5460548	609
"Hodgkin Disease"	"MS4A1"	"EFO_0000183"	"ENSG00000156738"	"chr11"	60463299.5	"hg38"	3	60500104	610
